item_code,item_name,item_description,qty,qty_unit,manual_unit_price,unit_cost,cost_currency,tax_class,markup_override
1,PROJECT MANAGEMENT AND CONTROLS,PROJECT MANAGEMENT AND CONTROLS; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
1.1,PROJECT CONTROLS SETUP,"PROJECT CONTROLS SETUP covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
1.1.1,PROJECT CONTROLS SETUP ASSEMBLY,PROJECT CONTROLS SETUP ASSEMBLY; copper busbar with tinned contact faces; UL 508A industrial control panel construction basis; ambient design range from -10 C to 45 C. Supplier cost currency: CNY.,25,KG,,2464.05,CNY,,7
1.1.2,PROJECT CONTROLS SETUP MODULE,PROJECT CONTROLS SETUP MODULE; IP66 outdoor electrical enclosure; CE technical file support package; factory acceptance testing included before shipment. Supplier cost currency: GBP.,30,TON,,387.8,GBP,,18
1.1.3,PROJECT CONTROLS SETUP ACCESSORY,PROJECT CONTROLS SETUP ACCESSORY; duplex stainless pipe spool; ISO 9001 traceable manufacturing record package; site commissioning supervision included. Supplier cost currency: JPY.,35,EA,,746906.75,JPY,,20
1.1.4,PROJECT CONTROLS SETUP SERVICE,PROJECT CONTROLS SETUP SERVICE; HDPE utility distribution header; IECEx hazardous-area component selection basis; spare terminals reserved for future expansion. Supplier cost currency: AUD.,40,SET,,916.3,AUD,,22
1.2,INTEGRATED SCHEDULE MANAGEMENT,"INTEGRATED SCHEDULE MANAGEMENT covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
1.2.1,INTEGRATED SCHEDULE MANAGEMENT ASSEMBLY,INTEGRATED SCHEDULE MANAGEMENT ASSEMBLY; IP66 outdoor electrical enclosure; CE technical file support package; site commissioning supervision included. Supplier cost currency: AUD.,32,EA,,813.4,AUD,,8
1.2.2,INTEGRATED SCHEDULE MANAGEMENT MODULE,INTEGRATED SCHEDULE MANAGEMENT MODULE; duplex stainless pipe spool; ISO 9001 traceable manufacturing record package; spare terminals reserved for future expansion. Supplier cost currency: HKD.,37,SET,,4322.15,HKD,,20
1.2.3,INTEGRATED SCHEDULE MANAGEMENT ACCESSORY,INTEGRATED SCHEDULE MANAGEMENT ACCESSORY; HDPE utility distribution header; IECEx hazardous-area component selection basis; maintenance access clearances included in layout. Supplier cost currency: SGD.,42,LOT,,928.26,SGD,,22
1.2.4,INTEGRATED SCHEDULE MANAGEMENT SERVICE,INTEGRATED SCHEDULE MANAGEMENT SERVICE; aluminum cable ladder and support hardware; EN 1090 structural fabrication documentation; operator training material included in handover pack. Supplier cost currency: KRW.,47,M,,9700621.45,KRW,,24
1.3,PROGRESS REPORTING PACKAGE,"PROGRESS REPORTING PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
1.3.1,PROGRESS REPORTING PACKAGE ASSEMBLY,PROGRESS REPORTING PACKAGE ASSEMBLY; duplex stainless pipe spool; ISO 9001 traceable manufacturing record package; maintenance access clearances included in layout. Supplier cost currency: KRW.,39,LOT,,9062586.75,KRW,,9
1.3.2,PROGRESS REPORTING PACKAGE MODULE,PROGRESS REPORTING PACKAGE MODULE; HDPE utility distribution header; IECEx hazardous-area component selection basis; operator training material included in handover pack. Supplier cost currency: USD.,44,M,,792.1,USD,,22
1.3.3,PROGRESS REPORTING PACKAGE ACCESSORY,PROGRESS REPORTING PACKAGE ACCESSORY; aluminum cable ladder and support hardware; EN 1090 structural fabrication documentation; continuous operation duty with remote monitoring. Supplier cost currency: EUR.,49,M2,,812.37,EUR,,24
1.3.4,PROGRESS REPORTING PACKAGE SERVICE,PROGRESS REPORTING PACKAGE SERVICE; PTFE-lined valve trim; API-style inspection and test plan documentation; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,54,M3,,5999.6,CNY,,6
2,PROCESS ENGINEERING DELIVERABLES,PROCESS ENGINEERING DELIVERABLES; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
2.1,DESIGN BASIS PACKAGE,"DESIGN BASIS PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
2.1.1,DESIGN BASIS PACKAGE ASSEMBLY,DESIGN BASIS PACKAGE ASSEMBLY; IP66 outdoor electrical enclosure; ISO 9001 traceable manufacturing record package; factory acceptance testing included before shipment. Supplier cost currency: USD.,36,M,,446.4,USD,,8
2.1.2,DESIGN BASIS PACKAGE MODULE,DESIGN BASIS PACKAGE MODULE; duplex stainless pipe spool; IECEx hazardous-area component selection basis; site commissioning supervision included. Supplier cost currency: EUR.,41,M2,,491.55,EUR,,24
2.1.3,DESIGN BASIS PACKAGE ACCESSORY,DESIGN BASIS PACKAGE ACCESSORY; HDPE utility distribution header; EN 1090 structural fabrication documentation; spare terminals reserved for future expansion. Supplier cost currency: CNY.,46,M3,,3725.7,CNY,,10
2.1.4,DESIGN BASIS PACKAGE SERVICE,DESIGN BASIS PACKAGE SERVICE; aluminum cable ladder and support hardware; API-style inspection and test plan documentation; maintenance access clearances included in layout. Supplier cost currency: GBP.,51,HR,,574.25,GBP,,11
2.2,PFD AND P&ID PACKAGE,"PFD AND P&ID PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
2.2.1,PFD AND P&ID PACKAGE ASSEMBLY,PFD AND P&ID PACKAGE ASSEMBLY; duplex stainless pipe spool; IECEx hazardous-area component selection basis; spare terminals reserved for future expansion. Supplier cost currency: GBP.,43,M3,,504.35,GBP,,9
2.2.2,PFD AND P&ID PACKAGE MODULE,PFD AND P&ID PACKAGE MODULE; HDPE utility distribution header; EN 1090 structural fabrication documentation; maintenance access clearances included in layout. Supplier cost currency: JPY.,48,HR,,947804.1,JPY,,10
2.2.3,PFD AND P&ID PACKAGE ACCESSORY,PFD AND P&ID PACKAGE ACCESSORY; aluminum cable ladder and support hardware; API-style inspection and test plan documentation; operator training material included in handover pack. Supplier cost currency: AUD.,53,DAY,,1125.85,AUD,,11
2.2.4,PFD AND P&ID PACKAGE SERVICE,PFD AND P&ID PACKAGE SERVICE; PTFE-lined valve trim; ISO 22734 hydrogen generator design basis; continuous operation duty with remote monitoring. Supplier cost currency: HKD.,58,KG,,5684.6,HKD,,6
2.3,OPERATING PHILOSOPHY PACKAGE,"OPERATING PHILOSOPHY PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
2.3.1,OPERATING PHILOSOPHY PACKAGE ASSEMBLY,OPERATING PHILOSOPHY PACKAGE ASSEMBLY; HDPE utility distribution header; EN 1090 structural fabrication documentation; operator training material included in handover pack. Supplier cost currency: HKD.,50,DAY,,5306.7,HKD,,4
